date,timestamp,open,high,low,close,volume,log_return,rolling_volatility,hidden_state
2020-06-24,1592956800000,9623.56,9663.38,9195.0,9285.91,13410.75869027,-0.035716061050201274,0.02182466181633975,1
2020-06-25,1593043200000,9285.94,9335.0,8979.07,9243.51,13529.05626726,-0.004576513890213665,0.02153078635259646,1
2020-06-26,1593129600000,9242.98,9291.73,9027.62,9155.42,10702.37319002,-0.009575630006715236,0.02150794772141783,1
2020-06-27,1593216000000,9155.42,9188.14,8815.01,9002.46,8507.26840968,-0.016848180323553973,0.02157008907961927,1
2020-06-28,1593302400000,9002.38,9189.0,8931.77,9113.24,5537.7575057,0.01223042784991212,0.02182131474538773,1
2020-06-29,1593388800000,9113.23,9236.75,9014.0,9184.45,8658.42672493,0.0077835354639602256,0.02195829127063801,1
2020-06-30,1593475200000,9188.79,9201.0,9059.6,9136.2,6820.86740899,-0.005267292542070215,0.02168262102194918,1
2020-07-01,1593561600000,9135.91,9297.2,9088.0,9239.97,7550.15999655,0.011294094802470456,0.016394586060713437,1
2020-07-02,1593648000000,9239.41,9265.0,8938.0,9091.53,10774.18558946,-0.01619542803769311,0.015978523645575664,1
2020-07-03,1593734400000,9091.98,9126.12,9036.74,9063.87,7738.46972112,-0.0030470296881936637,0.015962481532863705,1
2020-07-04,1593820800000,9059.73,9195.84,9039.84,9138.51,5300.78823324,0.008201171314061418,0.015781087216619995,1
2020-07-05,1593907200000,9138.51,9145.0,8905.84,9074.39,4601.32645918,-0.007041192222395575,0.015551990698615889,1
2020-07-06,1593993600000,9074.37,9375.9,9061.59,9343.31,9959.28200198,0.029204418920319164,0.01686898399759796,1
2020-07-07,1594080000000,9343.31,9379.34,9201.57,9253.94,6326.83865418,-0.009611172400116491,0.016923579201481527,1
2020-07-08,1594166400000,9253.94,9475.0,9232.2,9435.28,10135.31536748,0.019406448334670146,0.017419566327286678,1
2020-07-09,1594252800000,9435.28,9446.62,9154.79,9236.95,8450.14110132,-0.02124411053278741,0.017995673014167986,1
2020-07-10,1594339200000,9236.95,9322.23,9118.0,9291.05,6892.47061091,0.005839826613794829,0.017996924229739853,1
2020-07-11,1594425600000,9291.04,9303.04,9182.35,9235.0,3369.21728725,-0.0060509575455311455,0.01797020235047578,1
2020-07-12,1594512000000,9235.0,9347.53,9159.33,9303.37,5419.21357745,0.00737608646085023,0.015025455469381048,1
2020-07-13,1594598400000,9303.38,9339.61,9193.52,9236.92,8698.43618823,-0.007168203359698412,0.015029175133973947,1
2020-07-14,1594684800000,9236.91,9280.0,9100.0,9256.94,7497.56309216,0.002165043730207784,0.012782145951680559,1
2020-07-15,1594771200000,9256.94,9273.98,9154.01,9190.16,7196.32866271,-0.007240194038014197,0.012844353069074645,1
2020-07-16,1594857600000,9190.8,9216.02,9005.0,9130.11,8765.69858912,-0.006555603717479282,0.012746818023348958,1
2020-07-17,1594944000000,9130.93,9182.99,9054.99,9154.29,6423.74716202,0.0026448791424056118,0.012132335104600187,1
2020-07-18,1595030400000,9154.29,9210.0,9122.65,9175.85,4121.62697417,0.002352410831827566,0.011841652605403164,1
2020-07-19,1595116800000,9175.83,9245.03,9105.37,9212.87,3520.07247613,0.004026386829900333,0.011746813608733309,1
2020-07-20,1595203200000,9214.01,9223.51,9131.0,9161.05,5815.33084221,-0.005640618593584623,0.01175617542123911,1
2020-07-21,1595289600000,9161.05,9438.0,9157.04,9394.14,9603.9151125,0.025125289685791734,0.012806961818066957,1
2020-07-22,1595376000000,9394.14,9567.77,9277.0,9536.18,10362.35264843,0.015006895360363771,0.012521457425084589,1
2020-07-23,1595462400000,9536.2,9686.0,9450.04,9613.24,12992.9719195,0.008048328979870666,0.012513796169849128,1
2020-07-24,1595548800000,9613.24,9645.55,9475.7,9551.21,9798.89346586,-0.006473466926291066,0.012618989897942039,1
2020-07-25,1595635200000,9551.21,9747.76,9536.64,9711.33,6973.11089437,0.016625397079660622,0.012814101575941185,1
2020-07-26,1595721600000,9711.79,10150.0,9661.35,9941.0,11615.0460936,0.023374374112994152,0.012249889191295065,1
2020-07-27,1595808000000,9941.0,11420.0,9935.0,11048.91,41850.57309953,0.10566416133432237,0.025695041424605197,2
2020-07-28,1595894400000,11048.05,11259.0,10575.0,10934.23,26011.37513947,-0.010433545010036368,0.025916064690888113,2
2020-07-29,1595980800000,10934.22,11350.0,10843.47,11110.12,18556.27794282,0.015958169119021405,0.025075503829708395,2
2020-07-30,1596067200000,11108.16,11188.65,10811.0,11115.95,12408.70410754,0.0005246091759549391,0.025141430128019934,2
2020-07-31,1596153600000,11115.99,11460.0,10975.0,11351.62,15747.02174952,0.020979451170534808,0.025017883067306478,2
2020-08-01,1596240000000,11351.61,11888.0,11237.82,11810.07,18293.12524307,0.03959209235225582,0.02584205013156779,2
2020-08-02,1596326400000,11810.07,12134.29,10546.15,11068.54,28118.42911355,-0.064845707335047,0.03082353290804701,2
2020-08-03,1596412800000,11067.46,11486.6,10911.74,11233.13,13783.34037417,0.014760597599161504,0.03080423532964844,2
2020-08-04,1596499200000,11233.16,11417.11,11006.16,11197.04,12074.47851394,-0.003217989979036064,0.030700948310650344,2
2020-08-05,1596585600000,11197.05,11798.87,11073.7,11756.75,16637.78082145,0.04877808607451129,0.031621712788015795,2
2020-08-06,1596672000000,11756.75,11916.68,11580.19,11773.89,18053.08146864,0.0014568242114454894,0.03164259121398697,2
2020-08-07,1596758400000,11773.89,11920.0,11350.0,11606.52,23761.51075422,-0.014317358766856103,0.03214186578998987,2
2020-08-08,1596844800000,11606.52,11818.18,11529.45,11774.98,7315.88456116,0.014409932210998353,0.032094375357577164,2
2020-08-09,1596931200000,11773.24,11810.24,11532.04,11688.48,7595.96106535,-0.007373200020290624,0.0321475548533572,2
2020-08-10,1597017600000,11688.25,12086.22,11470.01,11899.73,22152.58893673,0.01791196941750451,0.03203496831271712,2
